,coord1,coord2,zip
145,39.154716,-76.528914,21122
146,39.154999,-76.049202,21620
147,39.155104,-76.595011,21060
148,39.157192,-76.516184,21122
149,39.165202,-76.535955,21060
150,39.166278,-76.722745,21076
151,39.169394,-76.540792,21060
152,39.169701,-76.830803,21046
153,39.176944,-77.270161,20874
154,39.178902,-77.413101,20839
155,39.180778,-77.05892,20833
156,39.18308,-76.640145,21061
157,39.192382,-76.629956,21061
158,39.192501,-77.335602,20841
159,39.192799,-76.724403,21075
160,39.199135,-76.555641,21226
161,39.199887,-76.555957,21226
162,39.199976,-76.555842,21226
163,39.200043,-76.595424,21226
164,39.200064,-76.64664,21090
165,39.200802,-75.982803,21668
166,39.201133,-76.55154,21226
167,39.202157,-76.54956,21226
168,39.202296,-76.55746,21226
169,39.20267,-76.589884,21226
170,39.202677,-76.549038,21226
171,39.202936,-76.558484,21226
172,39.202944,-76.558518,21226
173,39.20309,-76.559202,21226
174,39.203274,-76.567009,21226
175,39.203318,-76.553746,21226
176,39.203667,-76.555256,21226
177,39.203719,-76.574092,21226
178,39.203841,-76.565757,21226
179,39.204116,-76.564204,21226
180,39.204124,-76.564237,21226
181,39.204291,-76.565351,21226
182,39.204301,-76.566697,21226
183,39.204326,-76.566689,21226
184,39.204439,-76.566117,21226
185,39.204733,-76.567572,21226
186,39.204756,-76.64715,21090
187,39.2051,-76.569315,21226
188,39.205611,-76.571929,21226
189,39.205643,-76.546164,21226
190,39.206313,-76.664294,21090
191,39.206742,-76.573098,21226
192,39.206927,-76.576568,21226
193,39.207199,-76.445297,21219
194,39.208198,-76.570798,21226
195,39.208226,-76.570752,21226
196,39.208231,-76.542593,21226
197,39.209013,-76.584946,21226
198,39.209303,-76.642063,21090
199,39.209422,-76.679229,21090
200,39.210132,-76.585655,21226
201,39.211033,-76.555226,21226
202,39.211199,-76.06576,21620
203,39.211651,-76.662216,21090
204,39.211651,-76.58661,21226
205,39.21208,-77.142602,20882
206,39.212392,-76.567873,21226
207,39.213042,-76.587425,21225
208,39.213236,-76.55554,21226
209,39.213641,-76.869905,21044
210,39.213777,-76.65822,21090
211,39.215375,-76.473218,21219
212,39.21539,-76.6388,21090
213,39.215853,-76.587577,21225
214,39.215869,-76.63704,21225
215,39.215878,-76.637008,21225
216,39.21611,-76.636208,21225
217,39.216619,-76.587653,21225
218,39.217006,-76.587686,21225
219,39.217487,-76.629301,21225
220,39.217578,-76.587738,21225
221,39.217804,-76.648526,21090
222,39.217899,-76.479283,21219
223,39.217967,-76.480359,21222
224,39.21801,-76.58963,21225
225,39.218017,-76.589659,21225
226,39.218388,-76.587815,21225
227,39.218898,-76.603677,21225
228,39.21918,-76.610824,21225
229,39.2192,-76.476402,21219
230,39.219229,-76.582456,21225
231,39.219379,-76.469274,21219
232,39.219388,-76.587916,21225
233,39.219508,-76.586299,21225
234,39.219821,-76.616792,21225
235,39.219882,-76.601266,21225
236,39.219919,-76.614089,21225
237,39.220031,-76.456087,21219
238,39.220084,-76.583978,21225
239,39.220099,-76.470176,21219
240,39.220214,-76.587996,21225
241,39.220217,-76.600449,21225
242,39.220315,-76.582556,21225
243,39.220341,-76.58908,21225
244,39.220387,-76.586355,21225
245,39.220417,-76.588016,21225
246,39.22076,-76.599144,21225
247,39.220875,-76.586401,21225
248,39.220908,-76.598768,21225
249,39.220923,-76.598729,21225
250,39.220941,-76.595206,21225
251,39.221025,-76.590595,21225
252,39.221048,-76.588062,21225
253,39.221098,-76.471722,21219
254,39.22112,-76.58382,21225
255,39.221124,-76.588557,21225
256,39.221148,-76.588066,21225
257,39.221385,-76.603179,21225
258,39.221546,-76.597249,21225
259,39.221561,-76.597214,21225
260,39.221716,-76.587647,21225
261,39.221941,-76.59346,21225
262,39.22195,-76.592707,21225
263,39.221982,-76.591944,21225
264,39.222016,-76.591181,21225
265,39.22212,-76.588156,21225
266,39.222127,-76.589273,21225
267,39.222185,-76.586523,21225
268,39.222198,-76.588164,21225
269,39.222247,-76.595595,21225
270,39.222325,-76.595404,21225
271,39.222336,-76.595376,21225
272,39.2225,-76.705002,21090
273,39.2225,-76.651703,21090
274,39.222567,-76.604079,21225
275,39.22259,-76.594727,21225
276,39.222655,-76.597029,21225
277,39.222656,-76.608893,21225
278,39.222708,-76.593021,21225
279,39.222762,-76.588216,21225
280,39.2228,-76.591361,21225
281,39.22288,-76.589762,21225
282,39.222969,-76.586591,21225
283,39.222975,-76.588236,21225
284,39.223165,-76.594534,21225
285,39.223219,-76.597407,21225
286,39.22348,-76.59144,21225
287,39.223502,-76.60062,21225
288,39.223536,-76.589819,21225
289,39.223581,-76.591452,21225
290,39.223591,-76.592538,21225
291,39.223622,-76.588293,21225
292,39.223666,-76.589682,21225
293,39.223729,-76.588302,21225
294,39.223729,-76.586667,21225
295,39.223814,-76.703637,21090
296,39.223906,-76.597859,21225
297,39.224307,-76.588356,21225
298,39.224341,-76.59151,21225
299,39.224345,-76.600109,21225
300,39.224351,-76.591249,21225
301,39.224428,-76.589922,21225
302,39.22444,-76.589703,21225
303,39.22448,-76.586753,21225
304,39.224511,-76.588381,21225
305,39.224643,-76.613651,21225
306,39.225055,-76.593783,21225
307,39.225112,-76.591403,21225
308,39.225131,-76.618198,21225
309,39.225186,-76.589978,21225
310,39.225195,-76.586827,21225
311,39.225267,-76.599287,21225
312,39.225285,-76.58844,21225
313,39.225476,-76.590826,21225
314,39.225626,-76.599493,21225
315,39.225797,-76.614148,21225
316,39.2258,-76.614209,21225
317,39.225818,-76.614589,21225
318,39.22582,-76.614638,21225
319,39.225821,-76.614669,21225
320,39.225821,-76.614657,21225
321,39.225864,-76.586889,21225
322,39.225872,-76.590023,21225
323,39.225971,-76.589798,21225
324,39.226029,-76.588523,21225
325,39.226037,-76.588395,21225
326,39.226069,-76.591673,21225
327,39.226101,-76.5923,21225
328,39.226219,-76.593709,21225
329,39.226456,-76.599856,21225
330,39.226478,-76.613481,21225
331,39.226499,-76.588566,21225
332,39.226557,-76.59009,21225
333,39.226569,-76.607868,21225
334,39.22669,-76.591327,21225
335,39.226693,-76.614497,21225
336,39.226694,-76.614506,21225
337,39.226695,-76.614526,21225
338,39.2267,-76.588303,21225
339,39.226716,-76.58696,21225
340,39.226736,-76.590108,21225
341,39.226748,-76.58982,21225
342,39.226788,-76.588593,21225
343,39.227185,-76.598339,21225
344,39.227191,-76.592219,21225
345,39.227243,-76.600124,21225
346,39.227368,-76.59137,21225
347,39.227383,-76.441541,21219
348,39.227397,-76.59753,21225
349,39.227428,-76.588649,21225
350,39.227466,-76.641298,21225
351,39.227492,-76.590198,21225
352,39.227495,-76.60031,21225
353,39.227516,-76.587942,21225
354,39.227517,-76.589668,21225
355,39.227533,-76.60071,21225
356,39.227546,-76.587507,21225
357,39.22756,-76.614176,21225
358,39.227567,-76.587035,21225
359,39.227574,-76.614301,21225
360,39.22758,-76.614399,21225
361,39.227629,-76.592162,21225
