zip,date,911-score
20838,2017-10-01,9.96875
20838,2017-11-01,9.90625
20838,2017-12-01,9.90625
20838,2018-01-01,9.9375
20838,2018-06-01,9.96875
20838,2018-09-01,9.96875
20838,2018-10-01,9.96875
20838,2018-11-01,9.9375
20839,2016-04-01,9.9375
20839,2016-08-01,9.96875
20839,2016-11-01,9.9375
20839,2016-12-01,9.96875
20839,2017-01-01,9.875
20839,2017-02-01,9.96875
20839,2017-03-01,9.90625
20839,2017-04-01,9.9375
20839,2017-11-01,9.96875
20839,2018-09-01,9.96875
20850,2017-11-01,9.96875
20850,2018-05-01,9.96875
20850,2018-11-01,9.96875
20851,2015-07-01,9.96875
20851,2015-10-01,9.96875
20851,2016-06-01,9.96875
20851,2016-07-01,9.96875
20851,2016-10-01,9.96875
20851,2017-02-01,9.96875
20851,2017-04-01,9.96875
20851,2017-11-01,9.96875
20851,2018-04-01,9.96875
20851,2018-08-01,9.96875
20852,2015-03-01,9.90625
20852,2015-05-01,9.9375
20852,2015-07-01,9.96875
20852,2015-09-01,9.90625
20852,2015-10-01,9.9375
20852,2015-12-01,9.96875
20852,2016-03-01,9.84375
20852,2016-04-01,9.96875
20852,2016-05-01,9.9375
20852,2016-06-01,9.96875
20852,2016-09-01,9.96875
20852,2017-01-01,9.96875
20852,2017-02-01,9.96875
20852,2017-03-01,9.96875
20852,2017-05-01,9.9375
20852,2017-06-01,9.9375
20852,2017-08-01,9.96875
20852,2017-09-01,9.96875
20852,2017-10-01,9.9375
20852,2017-11-01,9.96875
20852,2017-12-01,9.96875
20852,2018-01-01,9.96875
20852,2018-06-01,9.96875
20852,2018-08-01,9.96875
20852,2018-10-01,9.96875
20853,2017-09-01,9.96875
20854,2017-02-01,9.96875
20861,2015-09-01,9.96875
20861,2016-07-01,9.96875
20861,2017-02-01,9.96875
20861,2017-10-01,9.96875
20861,2018-11-01,9.96875
20872,2015-08-01,9.96875
20874,2018-08-01,9.96875
20874,2018-10-01,9.96875
20882,2015-09-01,9.96875
20882,2015-12-01,9.96875
20882,2016-09-01,9.96875
20882,2016-12-01,9.96875
20882,2017-01-01,9.96875
20882,2017-07-01,9.96875
20882,2017-08-01,9.96875
20882,2017-12-01,9.9375
20882,2018-06-01,9.96875
20882,2018-09-01,9.96875
20895,2015-09-01,9.96875
20895,2015-10-01,9.96875
20895,2016-05-01,9.96875
20895,2016-06-01,9.96875
20895,2017-01-01,9.96875
20895,2017-05-01,9.96875
20895,2018-04-01,9.96875
20895,2018-10-01,9.9375
20901,2015-03-01,9.96875
20901,2015-06-01,9.875
20901,2015-07-01,9.96875
20901,2015-11-01,9.96875
20901,2015-12-01,9.9375
20901,2016-02-01,9.9375
20901,2016-04-01,9.96875
20901,2016-05-01,9.96875
20901,2016-06-01,9.90625
20901,2016-09-01,9.96875
20901,2016-10-01,9.90625
20901,2016-11-01,9.9375
20901,2016-12-01,9.96875
20901,2017-01-01,9.96875
20901,2017-02-01,9.84375
20901,2017-03-01,9.96875
20901,2017-04-01,9.9375
20901,2017-05-01,9.9375
20901,2017-06-01,9.96875
20901,2017-09-01,9.96875
20901,2017-10-01,9.90625
20901,2017-11-01,9.875
20901,2017-12-01,9.9375
20901,2018-01-01,9.96875
20901,2018-02-01,9.9375
20901,2018-04-01,9.9375
20901,2018-05-01,9.96875
20901,2018-06-01,9.96875
20901,2018-08-01,9.90625
20901,2018-09-01,9.96875
20902,2015-09-01,9.96875
20902,2017-05-01,9.96875
20902,2018-06-01,9.96875
20904,2015-09-01,9.96875
20904,2016-08-01,9.96875
20905,2017-05-01,9.96875
20906,2016-02-01,9.96875
20906,2016-07-01,9.96875
20906,2016-11-01,9.96875
20906,2018-06-01,9.96875
20906,2018-10-01,9.9375
20912,2015-03-01,9.96875
20912,2015-07-01,9.9375
20912,2015-09-01,9.96875
20912,2015-11-01,9.875
20912,2015-12-01,9.9375
20912,2016-01-01,9.96875
20912,2016-02-01,9.9375
20912,2016-03-01,9.96875
20912,2016-06-01,9.90625
20912,2016-07-01,9.9375
20912,2016-09-01,9.96875
20912,2016-10-01,9.96875
20912,2016-12-01,9.9375
20912,2017-01-01,9.96875
20912,2017-03-01,9.9375
20912,2017-04-01,9.90625
20912,2017-05-01,9.96875
20912,2017-06-01,9.9375
20912,2017-07-01,9.9375
20912,2017-08-01,9.96875
20912,2017-09-01,9.96875
20912,2017-10-01,9.96875
20912,2017-11-01,9.96875
20912,2018-03-01,9.96875
20912,2018-07-01,9.96875
20912,2018-09-01,9.9375
20912,2018-10-01,9.9375
21009,2017-03-01,9.96875
21009,2018-04-01,9.96875
21012,2016-06-01,9.96875
21012,2016-11-01,9.96875
21014,2015-11-01,9.96875
21014,2016-06-01,9.96875
21014,2017-04-01,9.96875
21014,2017-05-01,9.96875
21014,2017-06-01,9.96875
21014,2017-07-01,9.96875
21014,2017-08-01,9.875
21014,2017-09-01,9.96875
21014,2018-07-01,9.96875
21014,2018-09-01,9.9375
21017,2016-02-01,9.96875
21017,2016-04-01,9.96875
21017,2016-06-01,9.9375
21017,2016-07-01,9.96875
21017,2016-08-01,9.96875
21017,2017-01-01,9.96875
21017,2017-02-01,9.96875
21017,2017-03-01,9.96875
21017,2017-08-01,9.96875
21017,2017-10-01,9.90625
21017,2018-01-01,9.96875
21017,2018-07-01,9.96875
21017,2018-08-01,9.96875
21031,2015-04-01,9.96875
21031,2015-05-01,9.96875
21031,2015-07-01,9.96875
21031,2016-02-01,9.96875
21031,2016-06-01,9.96875
21031,2016-10-01,9.96875
21031,2016-11-01,9.96875
21031,2017-03-01,9.96875
21031,2017-08-01,9.9375
21031,2017-10-01,9.9375
21031,2017-11-01,9.9375
21031,2018-02-01,9.9375
21031,2018-04-01,9.96875
21031,2018-05-01,9.9375
21031,2018-06-01,9.9375
21040,2017-01-01,9.96875
21040,2017-12-01,9.96875
21040,2018-10-01,9.96875
21043,2018-11-01,9.90625
21046,2015-06-01,9.96875
21046,2015-08-01,9.96875
21046,2016-03-01,9.90625
21046,2018-02-01,9.96875
21047,2015-11-01,9.96875
21047,2016-04-01,9.96875
21047,2016-07-01,9.96875
21047,2017-01-01,9.96875
21047,2018-01-01,9.96875
